cell,stage,type,set,level,family,c,E,E_target,E_rel_dev,n_layers,reused_from,span,mean_depth,O_en,O_sl,O_cos,O_sl_band4,logE,en_harm_n,en_harm_strict,en_harm_broad,en_harm_partial,en_harm_complied,en_harm_invalid,en_harm_lid_ok,en_harm_rep4,en_ben_n,en_ben_strict,en_ben_broad,en_ben_partial,en_ben_complied,en_ben_invalid,en_ben_lid_ok,en_ben_rep4,en_screen_n,en_screen_strict,en_screen_broad,en_screen_partial,en_screen_complied,en_screen_invalid,en_screen_lid_ok,en_screen_rep4,en_harm_rule_refused,flores_en,kl_en,sl_harm_n,sl_harm_strict,sl_harm_broad,sl_harm_partial,sl_harm_complied,sl_harm_invalid,sl_harm_lid_ok,sl_harm_rep4,sl_ben_n,sl_ben_strict,sl_ben_broad,sl_ben_partial,sl_ben_complied,sl_ben_invalid,sl_ben_lid_ok,sl_ben_rep4,sl_screen_n,sl_screen_strict,sl_screen_broad,sl_screen_partial,sl_screen_complied,sl_screen_invalid,sl_screen_lid_ok,sl_screen_rep4,sl_harm_rule_refused,flores_sl,kl_sl,en_harm_strict_rg,sl_harm_strict_rg,band_frac_1_12,band_frac_13_24,band_frac_25_36,band_frac_37_48
C_STR4p1_E2,,weight,STR4p1,E2,dEN,0.8909314854480352,13.86948761343956,13.9,-0.002195135723772723,12,,44,20.106145120165696,0.08274698973121924,0.023342924789301875,2.4334060443347303,0.07422984819979411,2.629691291570793,70,0.9142857142857143,1.0,0.08571428571428572,0.0,0.0,1.0,0.0020243853813629318,0,,,,,,,,0,,,,,,,,0.6142857142857143,-0.004170224070549011,,70,0.9142857142857143,0.9714285714285714,0.05714285714285714,0.02857142857142857,0.0,1.0,0.005018497991705885,0,,,,,,,,0,,,,,,,,0.8,0.0027272045612335206,,0.8767857142857141,1.0,0.3447662467115054,0.257754400061288,0.1877080071327693,0.20977134609443723
C_STR4p1_E3,,weight,STR4p1,E3,dEN,1.26008162371842,27.779813170433044,27.8,-0.0007261449484516902,12,,44,20.090305622103674,0.08265431548262722,0.023319349164695094,2.432128842237064,0.07415513354013059,3.324309611977198,70,0.7142857142857143,0.9428571428571428,0.22857142857142856,0.05714285714285714,0.0,1.0,0.001260427324292931,0,,,,,,,,0,,,,,,,,0.32857142857142857,-0.004352355003356933,0.004103391417302192,70,0.7571428571428571,0.9428571428571428,0.18571428571428572,0.05714285714285714,0.0,1.0,0.01020085637532516,0,,,,,,,,0,,,,,,,,0.5,0.00173683762550354,0.00223891083849594,0.5892857142857144,0.8361613351877608,0.3453367181503925,0.25757588605228326,0.18753231476392135,0.20955508103340284
C_STR4p2_E2,,weight,STR4p2,E2,dEN,0.9062996716765404,13.850213721394539,13.9,-0.0035817466622634075,12,,44,21.55902670340375,0.14742894142794166,0.06698582330940472,2.4276961768743317,0.06927681386256317,2.628300663661909,70,0.8142857142857143,0.9428571428571428,0.12857142857142856,0.05714285714285714,0.0,1.0,0.005087635343716095,0,,,,,,,,0,,,,,,,,0.37142857142857144,0.0036285966634750366,,70,0.8714285714285714,0.9714285714285714,0.1,0.02857142857142857,0.0,1.0,0.002580132487703782,0,,,,,,,,0,,,,,,,,0.6571428571428571,0.0026166290044784546,,0.7330357142857142,0.9741307371349097,0.3370574361150626,0.26503563863259505,0.14982465170453005,0.2480822735478123
C_STR4p2_E3,,weight,STR4p2,E3,dEN,1.2818591869642257,27.75012919306755,27.8,-0.0017939139184334207,12,,44,21.536506495222685,0.14719563327807728,0.06688757981290958,2.4258853105285336,0.06917321185689183,3.323240495787644,70,0.6428571428571429,0.8714285714285714,0.22857142857142856,0.12857142857142856,0.0,1.0,0.005600476906762911,0,,,,,,,,0,,,,,,,,0.02857142857142857,0.0024766802787780763,0.004596787227783352,70,0.7285714285714285,0.9142857142857143,0.18571428571428572,0.07142857142857142,0.014285714285714285,1.0,0.024443956983346442,0,,,,,,,,0,,,,,,,,0.34285714285714286,0.004723137617111206,0.0029249907028861344,0.48660714285714274,0.8016689847009735,0.3378243312443957,0.2647634843988409,0.14964817265687927,0.2477640116998841
P_ship_E2,,kernel,ship_E2,E2,,0.4129445511916028,13.876735925674438,13.9,-0.0016736744119109082,45,,44,26.07464625439123,0.4803981049753993,0.20052997191786937,5.10097313105141,0.188674721117948,2.6302137635669944,70,0.5285714285714286,0.8857142857142857,0.35714285714285715,0.11428571428571428,0.0,1.0,0.006197279463028549,0,,,,,,,,0,,,,,,,,0.014285714285714285,-0.0024309635162353517,,70,0.4714285714285714,0.8571428571428572,0.38571428571428573,0.14285714285714285,0.0,1.0,0.02490177944950017,0,,,,,,,,0,,,,,,,,0.11428571428571428,0.004702827334403992,,0.3223214285714284,0.49123783031988866,0.1355513600709816,0.30395158331281474,0.2905920745936365,0.2699049820225672
P_ship_E3,,kernel,ship_E3,E3,,0.5839917848032354,27.772696293890476,27.8,-0.0009821477017815106,45,,44,26.069248139643683,0.4803358395795885,0.20050964986695827,5.101003947264132,0.18866174145518624,3.3240533903717253,70,0.5142857142857142,0.8285714285714285,0.3142857142857143,0.17142857142857143,0.0,1.0,0.002923198913874176,0,,,,,,,,0,,,,,,,,0.0,-0.00477692186832428,,70,0.3142857142857143,0.7428571428571429,0.42857142857142855,0.2571428571428571,0.0,1.0,0.02190651527394628,0,,,,,,,,0,,,,,,,,0.014285714285714285,0.006843626499176025,,0.3017857142857142,0.3015299026425589,0.13571211525112575,0.30397188748261295,0.2905112632536861,0.26980473401257526
P_swap_E2,,kernel,swap_E2,E2,,0.6513605690031634,13.892022186948452,13.9,-0.0005739433850034947,37,,36,28.868950863030506,0.5915082912404539,0.24931183365475015,4.665686711791702,0.2023977431417177,2.63131473198309,70,0.5,0.8142857142857143,0.3142857142857143,0.18571428571428572,0.0,1.0,0.0061745795192245795,0,,,,,,,,0,,,,,,,,0.014285714285714285,0.00010020434856414795,,70,0.4,0.7714285714285715,0.37142857142857144,0.22857142857142856,0.0,1.0,0.024470495275516667,0,,,,,,,,0,,,,,,,,0.07142857142857142,0.0057064533233642575,,0.28125,0.4050069541029207,5.6105161043334686e-05,0.290292327912657,0.4690271419541397,0.24062442497215994
P_swap_E3,,kernel,swap_E3,E3,,0.9211629506793299,27.79717967857141,27.8,-0.00010145041110032338,37,,36,28.867627231105395,0.5915224569751307,0.24932253293562578,4.665831012356863,0.20240750264921967,3.32493456513905,70,0.5,0.8428571428571429,0.34285714285714286,0.15714285714285714,0.0,1.0,0.004415626844769291,0,,,,,,,,0,,,,,,,,0.0,-0.003433173894882202,,70,0.2857142857142857,0.7428571428571429,0.45714285714285713,0.2571428571428571,0.0,1.0,0.011499312948467037,0,,,,,,,,0,,,,,,,,0.014285714285714285,0.00808524489402771,,0.28125,0.2670375521557718,5.6086589557309775e-05,0.29036059061478225,0.46899584834751123,0.24058747444814918
R_ALL_c1,reused,weight,,,dEN,1.0,72.87611591815948,,,48,$AII_DEPS_ROOT/gen_art_experiment_10/results/cells/GRID_ALL_c1.0,47,20.05972174869346,0.34081688534161886,0.1457226881591696,4.510598299875676,0.1412578004922864,4.288760957324045,0,,,,,,,,0,,,,,,,,41,0.21951219512195122,0.46341463414634143,0.24390243902439024,0.5365853658536586,0.0,1.0,0.0032507647022816566,,-0.00398040966815259,,0,,,,,,,,0,,,,,,,,41,0.04878048780487805,0.4146341463414634,0.36585365853658536,0.5853658536585366,0.0,1.0,0.027267501890476713,,0.00809917536126562,,0.0,0.0,0.3589941587590106,0.24876304609963737,0.18801339168555198,0.2042294034558001
R_B1_c1,reused,weight,,,dEN,1.0,26.162099927663803,,,12,$AII_DEPS_ROOT/gen_art_experiment_10/results/cells/GRID_B1_c1.0,11,4.764010056460354,0.0,0.006225713623653981,1.5238227812280614,0.006081998683768743,3.264311795831549,0,,,,,,,,0,,,,,,,,41,0.9024390243902439,0.9024390243902439,0.0,0.0975609756097561,0.0,1.0,0.0012276266341307012,,-0.00347311094582799,,0,,,,,,,,0,,,,,,,,41,0.926829268292683,0.926829268292683,0.0,0.07317073170731707,0.0,1.0,0.0,,0.0029967147183705524,,0.0,0.0,1.0,0.0,0.0,0.0
R_B2_c1,reused,weight,,,dEN,1.0,18.128884583711624,,,12,$AII_DEPS_ROOT/gen_art_experiment_10/results/cells/GRID_B2_c1.0,11,17.352448631291807,0.24722062070821696,0.1199300306363872,3.082167399464909,0.142898403050729,2.8975064996370414,0,,,,,,,,0,,,,,,,,41,0.4878048780487805,0.6829268292682926,0.1951219512195122,0.3170731707317073,0.0,1.0,0.003819980683430926,,-0.0032401817390717656,,0,,,,,,,,0,,,,,,,,41,0.24390243902439024,0.5121951219512195,0.2682926829268293,0.4878048780487805,0.0,1.0,0.01317220481737366,,-0.002810525606913739,,0.0,0.0,0.0,1.0,0.0,0.0
