layer,component,rel_frobenius_err,kernel_weight,g_bf16,g_nf4,g_rel_diff,proj_row_cos,proj_row_angle_deg
32,mlp.down_proj,0.09312915802001953,0.973186283309203,0.37123894691467285,0.37180572748184204,0.001526727117075517,0.9955102205276489,5.431412152768269
33,attn.o_proj,0.09223455935716629,1.1493475969765656,1.012463927268982,1.012694001197815,0.0002272416059835423,0.9959841966629028,5.1365236523963835
33,mlp.down_proj,0.09310059994459152,0.9226819622189093,0.816939651966095,0.8188585638999939,0.00234890291991674,0.9954081773757935,5.49283439657462
34,attn.o_proj,0.09229271858930588,1.122594033451334,0.8001998662948608,0.801798403263092,0.001997672126131256,0.9949155449867249,5.780215351997838
34,mlp.down_proj,0.09328034520149231,0.8721776411286155,0.7356253862380981,0.7365650534629822,0.0012773719374876132,0.9957491755485535,5.284795393143605
35,attn.o_proj,0.09201715886592865,1.0958404699261026,0.9672068357467651,0.9620844721794128,-0.005296037391420419,0.9960792064666748,5.075357249198375
35,mlp.down_proj,0.09291822463274002,0.8216733200383218,0.4089421331882477,0.40890640020370483,-8.737907308366724e-05,0.995431661605835,5.478759487211495
36,attn.o_proj,0.09307021647691727,1.069086906400871,0.9944888353347778,0.9957021474838257,0.0012200359681659076,0.9956168532371521,5.36647852176645
36,mlp.down_proj,0.09291116148233414,0.7711689989480282,0.21080446243286133,0.21067491173744202,-0.0006145538568025895,0.9953681230545044,5.516757733718478
37,attn.o_proj,0.09203532338142395,1.0423333428756396,0.5934333205223083,0.5927430391311646,-0.0011631995832931154,0.9961240291595459,5.0462441232888695
37,mlp.down_proj,0.09280641376972198,0.7206646778577344,0.1461757868528366,0.14616020023822784,-0.00010662925060534527,0.9954645037651062,5.459015373568261
38,attn.o_proj,0.09227646142244339,1.015579779350408,0.4210126996040344,0.4227340817451477,0.004088670348263257,0.9950569272041321,5.699216977342936
38,mlp.down_proj,0.0926075279712677,0.6701603567674406,0.3584548830986023,0.357931911945343,-0.0014589594895138326,0.9953794479370117,5.510004194836951
39,attn.o_proj,0.09224790334701538,0.9888262158251766,0.6363726258277893,0.6349717974662781,-0.002201270615135342,0.9957212805747986,5.302119458029691
39,mlp.down_proj,0.09272730350494385,0.6196560356771469,0.36475688219070435,0.36466675996780396,-0.00024707477034873984,0.995441734790802,5.472711220510659
40,attn.o_proj,0.09212617576122284,0.962072652299945,0.43239322304725647,0.433097779750824,0.0016294351206575307,0.9957643151283264,5.27536926641651
40,mlp.down_proj,0.09296662360429764,0.5691517145868532,0.14899824559688568,0.14867950975894928,-0.0021391918855121306,0.9956132769584656,5.36866897524432
41,attn.o_proj,0.09250207245349884,0.9353190887747136,0.3951027989387512,0.3945753276348114,-0.0013350229493605482,0.9954037070274353,5.495509558993123
41,mlp.down_proj,0.09276662021875381,0.5186473934965594,0.22358854115009308,0.2232905626296997,-0.0013327092652451323,0.9954285621643066,5.480619153600605
42,attn.o_proj,0.09448879212141037,0.908565525249482,0.24394138157367706,0.24396470189094543,9.559803719209568e-05,0.9948928952217102,5.793086587770632
42,mlp.down_proj,0.09292107820510864,0.46814307240626574,0.14102855324745178,0.1409374624490738,-0.0006459032322210724,0.9956809878349304,5.327043927752886
43,attn.o_proj,0.09214423596858978,0.8818119617242505,0.5154646635055542,0.5129988193511963,-0.004783730736435516,0.9958516955375671,5.220633291884205
43,mlp.down_proj,0.09312111139297485,0.41763875131597195,0.10400041937828064,0.10406114906072617,0.0005839368995680113,0.9955692887306213,5.395539028655289
44,attn.o_proj,0.09264076501131058,0.855058398199019,0.5224135518074036,0.5240231156349182,0.0030810146902698283,0.9955365061759949,5.415477688675796
44,mlp.down_proj,0.09314964711666107,0.36713443022567827,0.11015361547470093,0.11009152978658676,-0.0005636282372268165,0.9956609606742859,5.339389259052799
45,attn.o_proj,0.09337161481380463,0.8283048346737873,0.3651477098464966,0.36363768577575684,-0.004135378724885173,0.9955123066902161,5.430149215900834
45,mlp.down_proj,0.09336032718420029,0.3166301091353845,0.09624519944190979,0.0960450991988182,-0.002079067259997281,0.9956547021865845,5.34324134247351
46,attn.o_proj,0.0929020494222641,0.0,0.0,0.0,,0.995740532875061,5.2901689402867795
46,mlp.down_proj,0.09509486705064774,0.2661257880450908,0.033489275723695755,0.03361445665359497,0.0037379407943015732,0.9953140616416931,5.548884071689947
47,attn.o_proj,0.0926792249083519,0.0,0.0,0.0,,0.9958122372627258,5.2454208843788175
47,mlp.down_proj,0.09601325541734695,0.21562146695479711,0.031244834885001183,0.031292624771595,0.0015295291772132165,0.9953530430793762,5.5257378302428295
