cell_id,source,n_rpc_en,n_rpc_sl,partial_share_rpc_en,partial_share_rpc_sl,z,obs_strict_minus_broad,fold,pred
W_B1_c1,exp9,41.0,41.0,0.0975609756097561,0.0,0.14851602481867537,0.0975609756097561,exp9,0.011024496236904713
W_B1_c1.5,exp9,41.0,41.0,0.07317073170731707,0.0,0.7971750515420774,0.07317073170731707,exp9,0.0031903746071286765
W_B2_c0.25,exp9,41.0,41.0,0.34146341463414637,0.0,-1.7699767494060523,0.34146341463414637,exp9,0.03612317258373787
W_B2_c0.5,exp9,41.0,41.0,0.3902439024390244,0.04878048780487805,-0.9697471861440753,0.34146341463414637,exp9,0.027558221257147686
W_B2_c1,exp9,41.0,41.0,0.6585365853658537,0.14634146341463414,0.060201820146076716,0.5121951219512195,exp9,0.012302668220899426
W_B2_c1.5,exp9,41.0,41.0,0.4878048780487805,0.21951219512195122,0.7064970048688459,0.2682926829268293,exp9,0.004070000415605346
W_B3_c0.25,exp9,41.0,41.0,0.17073170731707318,0.0,-1.8301907635056944,0.17073170731707318,exp9,0.03657115036842451
W_B3_c0.5,exp9,41.0,41.0,0.3170731707317073,0.0,-1.0629036713734212,0.3170731707317073,exp9,0.028779816171514594
W_B3_c1,exp9,41.0,41.0,0.43902439024390244,0.0,-0.04772396534060442,0.43902439024390244,exp9,0.013903530071807113
W_B3_c1.5,exp9,41.0,41.0,0.43902439024390244,0.0,0.5953058935740756,0.43902439024390244,exp9,0.0052587275553809265
W_B4_c0.25,exp9,40.0,41.0,0.125,0.0,-1.8540284469548554,0.125,exp9,0.03674039687266106
W_B4_c0.5,exp9,40.0,41.0,0.125,0.0,-1.1008589322915223,0.125,exp9,0.029262939810990707
W_B4_c1,exp9,40.0,41.0,0.125,0.0,-0.09227624719604297,0.125,exp9,0.014573988941643523
W_B4_c1.5,exp9,41.0,41.0,0.14634146341463414,0.0,0.5492718429599613,0.14634146341463414,exp9,0.005783972690164396
W_C24_c0.25,exp9,41.0,41.0,0.3170731707317073,0.0,-1.3766994524378957,0.3170731707317073,exp9,0.032491040852463904
W_C24_c0.5,exp9,41.0,41.0,0.43902439024390244,0.024390243902439025,-0.42877245006310105,0.4146341463414634,exp9,0.019711949956869868
